MOT_LISTE	VED	LEM	TL_ORDRE	BALISE	AVANT	APRES
retrenchier	ESTRENCHER	estrencher	1	LEMME	retrenchier	estrenchier
estrive	ESTRIVEE	estrive	1	LEMME	estrive	estrivee
estalier	ESTALIER	talier1	1	LEMME	estalier	estalier1
estalier	ESTALIER	talier2	1	LEMME	estalier	estalier2
estrecier	ESTRECIR	trcir	1	LEMME	estrecier	estrecir
etimologie	ETYMOLOGIER	tymologier	1	LEMME	etimologie	etimologiier
exercïon	EXERCION	exercion	1	LEMME	exercïon	exercon
exercïon	EXERCITION	exercition	1	LEMME	exercïon	exercicon
fanfelüe	FAFELU	fafelu	1	LEMME	fanfelüe	fanfele
fine	FAINE	faine	1	LEMME	fine	fine1
feste	FAITE	fate	1	LEMME	feste	feste2
faitier	FAITIER	faitier2	1	LEMME	faitier	faitier2
falot	FALOT	falot3	1	LEMME	falot1	falot
fanfelüe	FANFELUE	fanfelue	1	LEMME	fanfelüe	fanfele
faucillier	FAUCILLIER	faucillier	1	LEMME	faucillier1	faucillier
fermoir	FERMEUR	fermeur2	1	LEMME	fermoir	fermor
feste	FESTE	fte	1	LEMME	feste	feste1
fïancier	FIANCER	fiancer	1	LEMME	fïancier1	fancier1
fïancier	FIANCIER	fiancier	1	LEMME	fïancier1	fancier2
fileron	FILEON	fileon	1	LEMME	fileron	fileon
fluvïel	FLUVIAL	fluvial	1	LEMME	fluvïel	fluvel
fluvïel	FLUVIEL	fluviel	1	LEMME	fluvïel	fluvel
fondëiz	FONDIS	fondis1	1	LEMME	fondëiz	fondiz
fondëiz	FONDIS	fondis2	1	LEMME	fondëiz	fondiz
formel	FORMEL	formel2	1	LEMME	formel1	formel
forment	FORTEMENT	fortement	1	SLEMME	forment	fortment
fine	FOUINE	fouine1	1	LEMME	fine	fine2
forrëor	FOURREUR	fourreur1	1	LEMME	forrëor1	forror2
forrëor	FOURREUR	fourreur2	1	LEMME	forrëor1	forror1
gäaignepain	GAGNE-PAIN	gagne-pain1	1	LEMME	gäaignepain	gaignepain
gäaignepain	GAGNE-PAIN	gagne-pain2	1	LEMME	gäaignepain	gaignepain
galïot	GALIOT	galiot1	1	LEMME	galïot1	galot1
galïot	GALIOT	galiot2	1	LEMME	galïot1	galot2
gaudine	GAUDIN	gaudin2	1	LEMME	gaudine	gaudin
gire	GIRE	gire2	2	LEMME	gire	gire2
glon	GLAON	glaon	1	LEMME	glon	glaon
grüerie	GRAERIE	graerie	1	LEMME	grüerie	grerie
grüerie	GREERIE	grerie	1	LEMME	grüerie	grerie
guiternëor	GUITERNEUR	guiterneur	1	LEMME	guiternëor	guiternor
h	HA	ha	1	LEMME	h	a2
harpëor	HARPEUR	harpeur1	1	LEMME	harpëor1	harpor1
harpëor	HARPEUR	harpeur2	1	LEMME	harpëor1	harpor2
herbergëor	HEBERGEUR	hbergeur	1	LEMME	herbergëor	herbergor
orribleté	HORRIBILIT	horribilit	1	LEMME	orribleté	orriblet
orribleté	HORRIBLET	horriblet	1	LEMME	orribleté	orriblet
hüeter	HOUETER	houeter	1	LEMME	hüeter	heter
hüeter	HUETER	hueter	1	LEMME	hüeter	heter
impetracïon	IMPETRATION	imptration	1	LEMME	impetracïon	impetracon
encrëable	INCREABLE	incrable	1	LEMME	encrëable	encrable
infirmer	INFIRME	infirme	1	LEMME	infirmer	infirme
enformëor	INFORMEUR	informeur	1	LEMME	enformëor	enformor
enemistié	INIMITI	inimiti	1	LEMME	enemistié	enemisti
injurïateur	INJURATEUR	injurateur	1	LEMME	injurïateur	injurateur
injurïateur	INJURIATEUR	injuriateur	1	LEMME	injurïateur	injurateur
inquinacïon	INQUINATION	inquination	1	LEMME	inquinacïon	inquinacon
insensibleté	INSENSIBILIT	insensibilit	1	LEMME	insensibleté	insensiblet
entencïon	INTENTION	intention	1	LEMME	entencïon	entencon
jetoir	JETEUR	jeteur1	1	LEMME	jetoir	jetor
jonemente	JEUNEMENT	jeunement	1	SLEMME	jonemente	jonement
jüerie	JUERIE	juerie	1	LEMME	jüerie	jerie
jüerie	JUIVERIE	juiverie	1	LEMME	jüerie	jerie
levëor	LEVEUR	leveur1	1	LEMME	levëor	levor
levëor	LEVEUR	leveur2	1	LEMME	levëor	levor
lignet	LIGET	liget	1	LEMME	lignet	liget
ling	LIN	lin2	1	LEMME	ling1	ling
ling	LING	ling	1	LEMME	ling1	ling
livree	LIVREE	livre1	1	LEMME	livree1	livree
livree	LIVREE	livre2	1	LEMME	livree1	livree
